City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kaitangata,NZ,2022-08-08 15:53:57,-46.2817,169.8464,35.47,77,45,8.75,scattered clouds
60,Port Alfred,ZA,2022-08-08 15:53:58,-33.5906,26.891,61.18,94,72,8.05,broken clouds
61,Saint-Philippe,RE,2022-08-08 15:53:58,-21.3585,55.7679,69.39,78,42,8.81,scattered clouds
62,Petropavlovsk-Kamchatskiy,RU,2022-08-08 15:53:58,53.0452,158.6483,54.19,100,100,2.24,mist
63,Meulaboh,ID,2022-08-08 15:53:59,4.1363,96.1285,77.47,83,37,2.73,scattered clouds
64,Barao De Melgaco,BR,2022-08-08 15:53:59,-16.1944,-55.9675,95.5,34,74,3.85,broken clouds
65,Tungor,RU,2022-08-08 15:54:00,53.3808,142.9564,54.27,99,100,15.7,heavy intensity rain
66,Semirom,IR,2022-08-08 15:54:00,31.4167,51.5667,83.28,21,84,3.38,broken clouds
67,Lucapa,AO,2022-08-08 15:54:00,-8.4192,20.7447,87.28,14,5,3.65,clear sky
68,Castro,BR,2022-08-08 15:54:01,-24.7911,-50.0119,64.78,76,100,2.08,overcast clouds
69,Portland,US,2022-08-08 15:54:01,45.5234,-122.6762,74.05,66,0,5.01,clear sky
70,Atuona,PF,2022-08-08 15:54:02,-9.8,-139.0333,76.64,73,9,13.29,clear sky
71,Barrow,US,2022-08-08 15:54:02,71.2906,-156.7887,37.81,79,29,12.53,scattered clouds
72,Galesong,ID,2022-08-08 15:54:02,-5.3166,119.3661,75.22,82,8,6.85,clear sky
73,Tiksi,RU,2022-08-08 15:54:03,71.6872,128.8694,51.35,95,100,7.09,overcast clouds
74,Deputatskiy,RU,2022-08-08 15:54:03,69.3,139.9,53.98,87,99,4.41,light rain
75,East London,ZA,2022-08-08 15:54:03,-33.0153,27.9116,61.74,100,75,5.75,broken clouds
76,Kurya,RU,2022-08-08 15:54:04,51.6003,82.2888,69.62,43,98,6.22,overcast clouds
77,Hoyanger,NO,2022-08-08 15:54:04,61.2204,6.0749,62.65,71,99,4.9,overcast clouds
78,Cherskiy,RU,2022-08-08 15:54:05,68.75,161.3,44.73,59,45,6.6,scattered clouds
79,Panaba,MX,2022-08-08 15:54:05,21.2833,-88.2667,89.82,53,95,6.15,overcast clouds
80,Fortuna,US,2022-08-08 15:54:05,40.5982,-124.1573,60.66,97,100,3.44,overcast clouds
81,Atambua,ID,2022-08-08 15:54:06,-9.1061,124.8925,70.77,87,33,5.06,scattered clouds
82,Vaini,TO,2022-08-08 15:53:47,-21.2,-175.2,75.36,94,20,6.91,few clouds
83,Margate,GB,2022-08-08 15:54:06,51.3813,1.3862,76.1,59,6,5.01,clear sky
84,Lagoa,PT,2022-08-08 15:54:07,39.05,-27.9833,73.83,78,23,16.24,few clouds
85,Liwale,TZ,2022-08-08 15:54:07,-9.7667,37.9333,74.61,42,36,7.14,scattered clouds
86,Jesup,US,2022-08-08 15:50:57,31.6074,-81.8854,88.34,62,40,0.0,scattered clouds
87,Tasiilaq,GL,2022-08-08 15:54:08,65.6145,-37.6368,38.73,96,100,4.79,overcast clouds
88,Bredasdorp,ZA,2022-08-08 15:54:08,-34.5322,20.0403,57.69,93,36,6.17,scattered clouds
89,Rio Gallegos,AR,2022-08-08 15:52:25,-51.6226,-69.2181,37.45,75,40,10.36,scattered clouds
90,Skjervoy,NO,2022-08-08 15:54:09,70.0311,20.9714,53.6,81,100,4.83,overcast clouds
91,Egvekinot,RU,2022-08-08 15:55:09,66.3167,-179.1667,32.68,76,79,9.66,broken clouds
92,Khatanga,RU,2022-08-08 15:55:10,71.9667,102.5,56.37,88,86,7.96,overcast clouds
93,Longyearbyen,SJ,2022-08-08 15:51:50,78.2186,15.6401,48.04,81,40,12.66,scattered clouds
94,Roura,GF,2022-08-08 15:55:10,4.7263,-52.3274,89.51,58,20,8.05,few clouds
95,Korla,CN,2022-08-08 15:55:11,41.7597,86.1469,91.33,22,3,1.52,clear sky
96,Wairoa,NZ,2022-08-08 15:55:11,-39.0333,177.3667,48.54,99,97,1.01,overcast clouds
97,Lanxi,CN,2022-08-08 15:55:12,29.2195,119.477,79.09,78,70,5.01,broken clouds
98,Ayakudi,IN,2022-08-08 15:55:12,10.45,77.55,78.26,68,99,8.95,overcast clouds
99,Kununurra,AU,2022-08-08 15:55:12,-15.7667,128.7333,69.78,88,1,0.0,clear sky
100,Codrington,AU,2022-08-08 15:51:52,-38.2667,141.9667,46.04,72,100,5.84,overcast clouds
101,Tuatapere,NZ,2022-08-08 15:55:13,-46.1333,167.6833,28.31,92,11,4.92,few clouds
102,Flagstaff,US,2022-08-08 15:50:31,35.1981,-111.6513,71.26,57,20,1.99,few clouds
103,Bridgetown,BB,2022-08-08 15:55:04,13.1,-59.6167,88.29,70,40,21.85,scattered clouds
104,Hamilton,US,2022-08-08 15:55:14,39.1834,-84.5333,88.25,75,16,4.0,few clouds
105,Nara,JP,2022-08-08 15:55:14,34.6851,135.8049,85.5,60,98,1.43,overcast clouds
