City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-08-01 15:39:54,-38.0023,-57.5575,60.94,79,0,8.99
68,Kattivakkam,IN,2022-08-01 15:39:54,13.2167,80.3167,87.89,85,100,9.35
69,Beisfjord,NO,2022-08-01 15:39:55,68.3751,17.5988,74.05,50,94,3.31
70,Kodiak,US,2022-08-01 15:39:55,57.79,-152.4072,54.91,88,0,11.5
71,Sesheke,ZM,2022-08-01 15:39:56,-17.4759,24.2968,75.67,13,0,6.76
72,Ponta Do Sol,PT,2022-08-01 15:39:56,32.6667,-17.1,86.72,62,2,5.08
73,Puerto Ayora,EC,2022-08-01 15:39:57,-0.7393,-90.3518,76.96,90,100,10.0
74,Qasigiannguit,GL,2022-08-01 15:39:57,68.8193,-51.1922,44.6,68,14,3.78
75,Vasai,IN,2022-08-01 15:39:57,19.47,72.8,84.29,78,99,7.74
76,Chokurdakh,RU,2022-08-01 15:39:58,70.6333,147.9167,46.35,92,97,10.29
77,Nanortalik,GL,2022-08-01 15:39:58,60.1432,-45.2371,47.07,83,100,3.42
78,Severo-Kurilsk,RU,2022-08-01 15:39:59,50.6789,156.125,51.73,87,1,5.53
79,Dafeng,CN,2022-08-01 15:39:59,23.4517,108.5881,82.4,66,2,2.64
80,Butaritari,KI,2022-08-01 15:39:59,3.0707,172.7902,80.94,79,89,16.17
81,Upernavik,GL,2022-08-01 15:40:00,72.7868,-56.1549,47.23,56,98,7.74
82,Nikolskoye,RU,2022-08-01 15:40:00,59.7035,30.7861,60.69,96,100,8.25
83,Henties Bay,NA,2022-08-01 15:40:01,-22.116,14.2845,57.81,65,3,7.67
84,Indramayu,ID,2022-08-01 15:40:01,-6.3264,108.32,79.12,79,16,7.29
85,Sibolga,ID,2022-08-01 15:40:02,1.7427,98.7792,77.36,91,100,2.24
86,Atuona,PF,2022-08-01 15:40:02,-9.8,-139.0333,75.52,81,23,9.78
87,Tiznit,MA,2022-08-01 15:40:02,29.5833,-9.5,97.56,22,83,8.23
